filename,bpm,mean_bandwidth,mean_centroid,mean_chroma,mean_contrast,mean_mfcc0,mean_mfcc1,mean_mfcc10,mean_mfcc11,mean_mfcc12,mean_mfcc2,mean_mfcc3,mean_mfcc4,mean_mfcc5,mean_mfcc6,mean_mfcc7,mean_mfcc8,mean_mfcc9,mean_rmse,mean_rolloff,mean_zcr,std_bandwidth,std_centroid,std_chroma,std_contrast,std_mfcc0,std_mfcc1,std_mfcc10,std_mfcc11,std_mfcc2,std_mfcc3,std_mfcc4,std_mfcc5,std_mfcc6,std_mfcc7,std_mfcc8,std_mfcc9,std_rmse,std_rolloff,std_zcr
05 - In Your Walking Remember Jah Jah.wav,135.11468005603817,2467.899496365517,2058.1158996571307,0.4083526460970409,20.760092219992973,-111.41449688309744,80.28791341725325,-1.4691866827135283,5.957705856950631,8.04104006980512,4.933429675181826,48.28968241462694,23.249551396840463,18.166929703960534,12.467675297298653,20.32404278721456,2.3974895238613265,16.81529753676064,0.2197253406047821,4647.746895710381,0.05351403770801084,416.75598637395007,722.416553218652,0.30263441244488126,7.387112750149212,56.50739591167741,30.521267403194766,9.792902093684496,8.791040240032716,26.309456354243352,20.88345143843289,16.56139262586107,12.8943856113548,12.297132519291383,9.733310395091948,9.69801108320633,10.370253079890306,0.07304316014051437,1666.7890646186963,0.032336628650753096
06 In Christ There Is No East Or West.wav,152.81921903780687,2100.3074348640134,1553.5172617229005,0.45234850224294515,24.707850795610067,-189.57679762955902,121.78044098665569,-20.616089425872662,-10.780140134862672,6.819217528053319,1.5360644689907308,16.312467821998116,3.2436622613646096,15.905710724809984,4.401219708527377,-1.0749661902561154,-10.899867688357746,7.390273285497262,0.08572013676166534,3246.3803695820434,0.06069842359229876,387.2736057037838,436.9939511270573,0.26503200894435747,6.435249599394094,56.20954696493239,24.056491900735214,8.648536663866484,6.9525817908092264,13.97275361603135,10.534987245164514,8.287917248458726,7.726051713269848,7.308148295560092,7.771923953813307,8.33499183193769,7.8407692525468935,0.03499845042824745,1325.5965011141886,0.024018304450271533
john lee hooker-hooker-101-boogie chillin.wav,148.9206681245447,1735.9977961232955,1420.990338750701,0.4773610097134474,22.269854988372288,-176.41044471260827,137.18665464193973,-7.750112356969672,-2.6167355125588,6.162693444494349,-23.32617773737953,40.787152026308014,8.538396221040419,7.419964716099821,-1.636943899737128,1.4388083773737448,-2.900415915947198,-1.9560199849773363,0.13864023983478546,2914.8573742562403,0.05935716186145511,425.7019961885327,426.8016966504661,0.269234558077496,6.696402171436026,90.20375805036063,30.60166381007603,8.091972114815766,7.0020959842156785,28.473640144799898,12.695090520442212,19.383917172780148,12.530910016886441,10.787604613143886,8.821183059500937,7.728166011482636,7.806228450302904,0.07891648262739182,994.7278233361282,0.03038995541291418
Marcia Aitken - I'm Still In Love With You.wav,140.65356125186386,2401.5451943875573,2023.2754277393224,0.4535654680314416,20.57322370720141,-113.94318530338599,97.78708496649504,-5.2317810527114865,2.6920605822730006,8.926782234536528,15.466260540970074,28.378465309384538,6.161482074898898,10.50004480331997,3.770723593871125,4.985325581483774,-2.192603870412233,1.95053647251749,0.2042841762304306,4275.774144978715,0.06865415779798761,602.874143450026,1041.9142563155674,0.2887791917865462,6.3454276807885215,97.00114121796621,33.9227046238025,10.516007459736159,7.754283619113264,31.588982584450402,15.805056391898532,13.847477036998734,14.98639328834249,12.967013163853608,11.139574683827666,10.022722669267287,10.809312357479463,0.07779411971569061,2439.6896204459777,0.05023053375714867
03 Blue In Green.wav,127.09954402277013,1745.160481487757,1102.129533920164,0.37232279926952644,22.052237195081887,-290.52769565790703,138.33868480526075,5.465746402346629,5.7819303489954486,7.115378169739186,7.865851094758493,29.201845789734833,9.388573197760195,6.310955542308525,3.514470254406142,-1.5662763812703395,-2.0407323808079956,5.612393057687129,0.06331325322389603,2031.8127139064918,0.03660295327012384,294.37262285614725,305.4687180386014,0.29812338380985326,5.433697256476875,45.32247649301319,26.03572287072865,8.204230855926074,8.07434853868284,19.930447104483285,14.557939902504682,8.652015313322108,7.336285416687552,7.940960995431863,8.152714408900897,8.46256976967975,8.416145649981916,0.029978640377521515,843.7756135826635,0.020562342382789808
11. Willie Nelson - Whiskey River.wav,154.84465191086835,1953.4511156424558,1673.3123231031493,0.5091604053086426,22.303255806778868,-188.16960246714834,131.60775705722656,-6.13831408901565,3.718081485807258,8.01638389817657,-14.99774204970183,22.423311044155493,4.755226885586669,-0.4521331491842858,4.8438430045535865,3.5570518107817817,-3.704823747897174,5.589196775497658,0.0692100077867508,3271.4885510896383,0.07794019386126161,457.12913652204486,598.6599662367644,0.26201877442136856,6.0882041326711285,65.26809339566852,34.7722844921761,8.692105449341364,9.070478879580298,22.727920362593157,17.433126182778274,14.528175877945435,16.020696941014066,12.697306062575803,10.6273365154315,8.342308236974175,8.432353652934513,0.02434549108147621,1342.3933716419667,0.03954266180956873
1-04 Bad Moon Rising.wav,92.94525078066617,2205.956071710592,2069.867476723128,0.544751945641967,20.876185202856256,-30.08836851328069,106.03339722082117,-5.892788525039825,5.1412972658144005,6.431637699059012,-24.12428359721054,26.36583350531042,12.035755329466483,6.889628634261617,-7.368493235923974,11.371662933516145,-6.570525536811994,5.904334662034652,0.21710334718227386,4191.5579875556305,0.10432816732778638,348.09174120086846,450.61281000924515,0.25001997114296937,6.826536954248336,40.773858998119714,20.905731338129467,8.449203573859073,7.816152053589616,14.740835863925312,11.212399551190718,8.567678129122498,8.240500314614783,8.860429625375486,6.680257445301987,7.204766962446192,8.375975145403931,0.05572311207652092,1222.6454485596068,0.029467666802566225
02.A Taste Of Honey - Boogie Oogie Oogie.wav,123.08973188370743,2628.6966951495174,2438.7514405673696,0.5789443727826723,21.203269042393355,-69.101864845191,95.03555647960253,-6.913434867429567,1.140788583086982,8.213570753010494,2.6109849093131787,11.7141711364178,8.019343705220278,1.964770702429636,2.8571977127052532,1.8342551467253572,-5.1682398386509885,10.751553799886969,0.18439030647277832,5362.600906419311,0.1105703820385062,521.2446690615593,804.8327352883418,0.24919031388816543,6.4117546117827375,63.83912692411028,33.67357686774096,8.399502877844316,8.277799286591963,21.9147452032608,16.313336109958435,16.45652380102037,13.98873593194885,10.594461126579992,10.196104802888842,9.331270560496757,10.271199422378652,0.06682759523391724,2036.1468717451457,0.04850590261235867
Baby Please Don't Go.wav,126.49923507643189,1925.8886255775449,1784.5544426238382,0.4940085263405348,21.67901295327767,-158.1980411157087,116.69526217063466,-4.750300651172434,0.360443104903697,10.73990959776975,-24.07728305654132,31.365136864039854,-17.665605771949668,0.23200301096934417,-15.722875900789903,2.9005047154730605,-10.805426164693541,0.1910651857280885,0.09153977781534195,3644.6196281503967,0.08055960357004643,263.7149508193204,427.02903327526906,0.26181670569516546,6.977959721261691,52.570936824428074,24.68666384141508,8.977709177691857,9.94469964151345,14.770705398952293,12.801107104407121,11.142376742926876,8.973187549211646,8.457739999751208,8.841266768528484,7.839604445825078,6.622108208012915,0.03798861429095268,870.1755908176899,0.026488724875598665
38 - Bee Gees - Stayin' Alive (From _Saturday Night Fever_ Soundtrack).wav,103.359375,2597.61526369685,2574.3594832468298,0.5301069250432556,20.341308396699894,-124.44793315747339,80.67411038151924,-5.908169840387543,-0.8812000848980605,6.335062070612397,-2.39088998741614,25.060049298259507,2.4923905863552065,12.22600507631286,2.973888360946876,5.814194485036302,-3.853189122834182,5.27686229323403,0.08448024094104767,5516.399976417376,0.11517617429373066,455.44606008399296,685.1655668990584,0.2618864033193623,6.3899183668582324,46.935488738837435,23.920391921311953,5.804666388090082,5.6940854343206455,31.251553998788662,14.813068849420626,10.40806215760939,11.186960604065861,9.126989360801653,6.582064135178561,7.079841673753718,6.899552873877019,0.03254852443933487,1560.797085957921,0.0450919970625626
